prov_ubi;cant_ubi;parr_ubi;area_ubi;clase;tipo;entidad;sector;dotmedic;dismedic;dotcirug;discirug;dotginob;disginob;dotped;disped;dotneon;disneon;dotcardi;discardi;dotneumo;disneumo;dotpsiqu;dispsiqu;dottraum;distraum;dotinfec;disinfec;dotofta;disofta;dotootorri;disootorri;doturolo;disurolo;dotgast;disgast;dotquem;disquem;dotneuro;disneuro;dotnefro;disnefro;dotonco;disonco;dothema;dishema;dototrse;disotrse;dotserin;disserin;camas_dnor;camas_disp;dotemerg;dotcinteadult;dotcintepediatri;dotcinteneonat;dotcintrm;dotcrecup;dototrapo;dia_estad;dias_cdis;totegres;falmen48;falmas48
23;2301;230103;1;1;5;18;2;0;0;0;0;4;6;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;0;393;3108;393;0;0
23;2301;230102;1;32;1;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;3;1;0;0;0;0;2;80;2262;67;0;0
17;1701;170127;1;2;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;17;17;0;7;8;4;0;0;0;4550;6205;1989;6;6
12;1201;120102;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;2;0;0;0;0;0;0;289;2181;177;0;0
09;0906;090603;1;12;3;17;3;1;0;11;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;22;10;0;0;0;0;0;0;0;130;3913;95;0;0
24;2402;240250;1;32;1;18;2;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;11;0;0;0;0;0;0;0;308;3099;161;0;0
01;0101;010107;1;6;2;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;43;0;0;77;77;0;0;0;0;0;1;5;23498;28105;453;0;0
22;2201;220150;1;12;3;18;2;5;5;3;3;5;5;1;1;1;1;0;0;0;0;1;1;3;3;3;3;2;2;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28;2;0;0;1;1;1;2;290;10220;194;0;0
21;2101;210150;1;12;3;18;2;0;0;2;2;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;8;9;4;0;0;0;0;1;2;662;3195;519;0;0
01;0101;010111;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;1;0;0;0;0;0;0;737;4745;438;1;0
13;1308;130802;1;12;3;18;2;1;1;2;2;5;5;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;927;4745;774;0;0
17;1701;170112;1;17;2;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;51;51;51;0;0;0;0;0;0;0;9853;18615;73;6;63
11;1101;110102;1;1;5;18;2;0;0;0;0;5;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;18;18;2;0;0;0;0;1;1;1183;6570;470;0;0
09;0901;090112;1;1;5;18;2;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;1167;10980;386;0;2
09;0901;090102;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;0;0;0;0;0;0;0;625;4368;561;0;0
17;1701;170101;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;12;13;12;0;0;0;0;0;0;0;1574;4411;604;1;3
13;1301;130106;1;1;5;18;2;1;1;7;7;3;3;7;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;3;0;0;0;0;2;0;186;7030;156;1;0
09;0920;092056;2;1;5;18;2;17;17;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;2325;1420;1266;0;0
09;0901;090102;1;1;5;18;2;8;8;4;4;4;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;0;0;0;0;0;0;0;2082;6448;2064;0;0
17;1701;170109;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;0;0;0;0;0;0;0;57;3285;52;0;0
09;0901;090106;1;32;1;18;2;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;71;2067;61;0;0
09;0908;090850;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;0;0;0;0;0;0;0;44;4745;44;0;0
23;2301;230105;1;32;1;18;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;5;6;7;0;0;0;0;0;0;0;136;2072;78;0;0
08;0801;080102;1;12;3;18;2;2;2;2;2;3;3;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;4;0;0;0;1;0;2;374;4015;322;0;0
06;0601;060102;1;12;3;18;2;2;1;1;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;125;1098;75;0;1
05;0505;050550;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;0;0;0;0;0;0;0;671;2555;379;2;0
17;1701;170106;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;4;2;1;0;1;2;2;1225;4380;531;22;15
17;1701;170156;2;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;3;0;0;0;0;0;1;1044;3650;525;1;0
17;1701;170113;1;12;3;18;2;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;689;3285;482;2;2
17;1701;170112;1;12;3;18;2;13;13;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;0;0;1987;6935;747;0;1
08;0801;080101;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;0;0;0;0;0;0;0;76;3285;76;1;0
17;1705;170550;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;15;15;0;0;0;0;0;0;0;2115;5475;1168;1;3
17;1701;170184;2;12;3;18;2;11;11;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;1753;4380;875;2;0
17;1701;170115;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;0;0;0;0;0;0;0;179;2555;81;0;0
01;0101;010110;1;15;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;263;3285;66;0;0
17;1701;170114;1;12;3;18;2;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;24;24;0;0;0;0;0;0;0;5255;8760;4070;0;0
17;1701;170127;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;6;10;10;0;0;0;0;0;0;0;663;3650;580;0;0
13;1308;130802;1;2;1;18;2;0;0;2;2;2;2;2;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;24;24;38;38;7;10;0;0;5;0;0;19873;15347;3316;33;167
11;1101;110103;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;27;2190;27;0;0
01;0101;010112;1;17;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;252;1460;184;0;0
17;1701;170112;1;12;3;18;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;54;730;32;0;0
09;0901;090112;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;0;0;0;0;0;0;0;1509;2555;1503;0;0
17;1701;170180;2;12;3;18;2;0;0;3;3;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;12;12;3;0;0;0;0;0;0;182;4380;66;0;1
13;1314;131401;1;1;5;18;2;0;0;0;0;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;123;1825;85;0;0
17;1701;170114;1;12;3;18;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;8;8;0;0;0;0;0;0;0;60;2920;44;0;0
17;1705;170501;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;2;3;0;1;1;0;0;1188;3285;425;1;7
01;0101;010112;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;0;0;0;0;0;0;0;77;4015;76;0;0
01;0101;010114;1;12;3;18;2;8;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;392;3640;193;1;0
07;0701;070102;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;0;0;0;0;0;0;0;94;3285;93;2;0
09;0901;090103;1;11;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;51;51;51;23;15;0;0;59;0;0;36593;16930;3805;76;400
07;0706;070650;1;1;5;18;2;0;1;1;1;4;4;4;4;13;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;24;24;2;1;1;0;1;1;1;4406;8940;683;3;13
10;1001;100103;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;12;13;1;1;0;0;1;0;3;2217;4838;1201;5;0
17;1701;170114;1;12;3;18;2;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;24;24;0;0;0;0;0;0;0;4566;8736;2307;0;1
09;0906;090601;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;0;0;0;0;0;0;0;404;3650;321;0;0
13;1308;130801;1;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;1;0;0;0;0;1;0;181;2520;177;0;0
09;0901;090112;1;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;0;0;0;0;0;0;0;492;3225;262;0;0
01;0101;010110;1;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;19;19;3;0;0;0;2;0;0;2032;6935;1513;1;0
23;2301;230102;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;15;15;0;0;0;0;0;0;0;251;5203;194;0;0
07;0701;070102;1;1;5;18;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;12;12;0;0;0;0;0;0;0;229;4380;112;0;2
